SYMBOL,OPEN,HIGH,LOW,PREVCLOSE,LAST
ORTINLABSS,0.0,0.0,0.0,0.0,0.0
MUTHOOTFIN,,,,,
ZICOM,0.0,0.0,0.0,0.0,0.0
KTKBANK,197.0,198.3,194.7,196.37,195.52
INDIANB,,,,,
NDTV,159.24,167.99,157.22,159.24,162.7
SBBJ,0.0,0.0,0.0,0.0,0.0
POLYPLEX,1390.0,1395.0,1357.2,1383.5,1377.6
EIDPARRY,985.0,1042.0,980.0,985.1,990.0
SATHAISPAT,0.0,0.0,0.0,0.0,0.0
KOTAKBANK,,,,,
RAMKY,468.8,475.2,466.05,466.85,471.0
BAGFILMS,6.79,6.79,6.52,6.68,6.72
ZEEMEDIA,14.4,14.5,14.28,14.4,14.34
DREDGECORP,752.0,774.55,740.2,746.65,766.15
INDHOTEL,,,,,
LAMBODHARA,144.25,144.25,140.61,141.43,141.61
AIAENG,3413.6,3430.5,3369.7,3390.8,3387.0
MADHAV,47.5,49.39,46.95,46.82,47.98
EDL,0.0,0.0,0.0,0.0,0.0
ELECTCAST,104.91,107.5,104.5,105.12,106.72
JAGSNPHARM,238.0,238.83,226.99,232.12,230.27
INEOSSTYRO,,,,,
TWL,,,,,
FEL,0.61,0.61,0.58,0.6,0.58
JAYAGROGN,258.1,265.57,257.91,257.0,258.57
AMTEKAUTO,0.0,0.0,0.0,0.0,0.0
SRIPIPES,0.0,0.0,0.0,0.0,0.0
PVR,,,,,
HINDUJAVEN,,,,,
TRIGYN,84.3,87.7,83.9,83.98,87.28
BSE,,,,,
BHARTISHIP,,,,,
NH,1745.0,1749.4,1711.0,1742.6,1724.3
IDEA,,,,,
RAMANEWS,0.0,0.0,0.0,0.0,0.0
INDRAMEDCO,443.2,444.8,436.85,441.85,440.0
CUB,194.0,195.71,192.89,193.4,194.26
WORTH,148.87,167.0,145.55,146.9,160.9
MVL,0.0,0.0,0.0,0.0,0.0
PREMIERPOL,53.83,54.69,51.9,53.32,52.8
MAZDA,274.75,280.72,271.25,274.65,276.51
DYNAMATECH,7045.0,7045.0,6850.0,7015.5,6910.5
RICOAUTO,70.95,78.15,70.41,70.25,77.45
SENSEXIWIN,,,,,
SGBNOV24,0.0,0.0,0.0,0.0,0.0
TTML,75.1,76.48,74.1,75.01,74.3
KSK,0.0,0.0,0.0,0.0,0.0
ICICI0801,0.0,0.0,0.0,0.0,0.0
UMESLTD,,,,,
TIL,333.2,333.2,333.2,317.34,333.2
IDBIGOLD,,,,,
OPTIEMUS,574.25,620.0,574.25,571.4,600.35
GAMMONIND,0.0,0.0,0.0,0.0,0.0
GATI,,,,,
SANGINITA,10.8,10.8,10.2,10.58,10.36
TV18BRDCST,0.0,0.0,0.0,0.0,0.0
AIFL,0.0,0.0,0.0,0.0,0.0
KOTHARIPET,166.36,167.69,163.98,165.95,166.0
HIL,,,,,
HPL,550.0,567.0,545.0,544.2,554.65
EIMCOELECO,2240.4,2424.0,2224.0,2265.6,2374.2
MEGASOFT,84.0,85.0,82.0,82.12,83.89
MSPL,27.5,28.38,27.12,27.17,28.22
RAJESHEXPO,199.38,203.3,198.24,198.15,201.09
M&M,3039.7,3044.8,2998.3,3039.8,3000.0
SONATSOFTW,404.8,409.2,401.1,401.25,405.5
SUNDRMBRAK,905.1,908.95,860.0,898.15,866.9
ESCORTS,,,,,
UTTAMSUGAR,308.5,315.35,307.35,306.95,309.6
HCL-INSYS,18.29,18.94,18.0,18.29,18.59
VIJIFIN,2.33,2.45,2.3,2.3,2.35
ALBERTDAVD,807.2,816.3,804.95,807.2,808.95
LAKSHMIEFL,0.0,0.0,0.0,0.0,0.0
STYABS,,,,,
SUBROS,758.0,770.3,749.0,761.25,751.5
TIMETECHNO,390.0,390.0,375.1,380.5,378.4
RNAM,,,,,
IMPEXFERRO,2.17,2.2,2.07,2.17,2.2
JNPT,0.0,0.0,0.0,0.0,0.0
HEXATRADEX,189.99,191.54,185.61,190.14,188.0
SGBDEC25XI,9451.1,9451.1,9451.1,9550.0,9451.1
SPMLINFRA,186.86,193.49,186.31,186.86,188.3
CROMPTON,,,,,
OIL,,,,,
MPHASIS,,,,,
RELCAPITAL,0.0,0.0,0.0,0.0,0.0
TAKE,0.0,0.0,0.0,0.0,0.0
MTEDUCARE,2.18,2.24,2.17,2.18,2.17
LUMAXAUTO,0.0,0.0,0.0,0.0,0.0
SEAMECLTD,,,,,
SUNFLAG,265.0,269.0,261.83,270.01,262.44
IFGLEXPOR,542.95,550.0,537.0,542.95,540.0
CNOVAPETRO,0.0,0.0,0.0,0.0,0.0
EMKAY,0.0,0.0,0.0,0.0,0.0
ORBITCORP,,,,,
BROADCAST,0.0,0.0,0.0,0.0,0.0
JINDALPOLY,639.5,648.0,629.3,641.75,630.0
UNITEDBNK,0.0,0.0,0.0,0.0,0.0
GET&D,,,,,
