SYMBOL,OPEN,HIGH,LOW,PREVCLOSE,LAST,PREDICTED_PROFIT
DICIND,672.0,672.0,651.0,654.25,651.3,-3.250000000000847
FEDDERELEC,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
IIHFL,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
SPTL,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
BANKBEES,568.78,569.38,567.0,568.23,568.39,-1.2299999999998603
ZICOM,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
RAMASTEEL,10.85,11.08,10.82,10.81,11.08,0.010000000006262036
PAEL,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
JISLDVREQS,29.81,30.5,29.76,29.85,29.94,-0.08999999999394402
HCL-INSYS,18.29,18.94,18.0,18.29,18.34,-0.28999999999381987
DALMIABHA,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
INDIANHUME,431.8,447.6,429.85,429.65,435.8,0.20000000000166304
EASTSILK,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
ANGIND,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
BANARISUG,4262.7,4350.0,4191.9,4264.0,4260.0,-72.10000000004071
STERTOOLS,318.0,320.0,314.25,318.4,314.9,-4.149999999997027
TEXRAIL,159.48,162.44,159.48,159.0,159.79,0.48000000000462456
PALREDTEC,54.99,54.99,52.61,54.53,52.81,-1.9199999999942137
ARMANFIN,1518.9,1570.8,1472.0,1504.4,1526.3,-32.400000000010245
JCTEL,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
QUINTEGRA,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
UJJIVAN,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
ABIRLANUVO,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
WELENT,505.8,507.75,489.05,504.55,491.2,-15.49999999999913
BFUTILITIE,748.6,765.0,744.2,747.05,752.6,-2.8500000000017818
NATNLSTEEL,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
PTL,41.4,41.6,40.75,40.83,41.15,-0.07999999999406902
INOXLEISUR,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
SPARC,162.0,177.9,162.0,161.31,169.17,0.6900000000045649
RMDRIP,540.0,549.95,540.0,544.6,548.0,-4.599999999999614
TANTIACONS,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
NELCAST,136.3,138.69,134.11,135.34,134.25,-1.2299999999950983
VSTIND,286.75,289.05,286.2,286.35,286.5,-0.14999999999676705
SCHAEFFLER,4000.0,4088.2,3967.3,3994.1,4000.9,-26.800000000037052
SICAL,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
MCLEODRUSS,33.32,33.32,32.25,32.95,32.25,-0.6999999999939781
SIGNET,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
CRMFGETF,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
SGBOCT25,9499.99,9499.99,9499.99,9310.02,9499.99,189.96999999990388
GLOBAL,59.91,62.8,59.91,59.9,62.27,0.010000000005711168
FLEXITUFF,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
SHAKTIPUMP,879.35,879.35,850.25,873.8,857.2,-23.550000000003084
ORTINLABSS,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
KEMROCK,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
M&MFIN,259.7,265.9,258.5,258.2,263.95,0.3000000000035317
ORIENTPPR,29.16,29.57,29.02,29.46,29.23,-0.43999999999394107
DTIL,193.4,193.4,186.3,189.82,188.59,-3.519999999995693
NFL,101.5,101.83,100.0,101.31,100.1,-1.3099999999947305
COUNCODOS,7.74,7.8,7.38,7.74,7.48,-0.35999999999370197
RELIABLE,78.98,78.98,65.0,77.88,77.4,-12.879999999994443
TASTYBITE,11000.0,11043.0,10450.0,10934.5,10485.0,-484.5000000001112
BAJAJHIND,23.65,24.27,23.45,23.56,24.02,-0.1099999999938764
SREIBNPNCD,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
MOREPENLAB,66.88,67.09,65.66,66.67,65.7,-1.0099999999943527
BHARATGEAR,89.4,89.9,88.81,89.17,89.5,-0.3599999999945876
JBMA,731.5,733.85,723.0,728.8,724.5,-5.8000000000015675
SETFNIF50,263.79,263.97,262.2,263.27,262.67,-1.0699999999964713
NUTEK,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
PARAGMILK,210.99,212.9,209.25,210.67,210.37,-1.4199999999959225
JBFIND,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
FIRSTWIN,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
RAJRAYON,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
ICIBK1107,0.0,0.0,0.0,0.0,0.0,6.3815619455454e-12
SCI,203.4,207.79,201.68,203.14,205.77,-1.459999999995824
ASPINWALL,305.1,310.0,301.0,301.95,305.0,-0.9499999999969134
MANGCHEFER,263.25,266.5,259.58,261.67,265.3,-2.089999999996513
DHAMPURSUG,142.9,145.9,142.51,142.82,144.77,-0.30999999999517974
STARCEMENT,220.0,221.54,216.9,220.09,217.32,-3.1899999999959974
VIKASECO,2.33,2.53,2.31,2.32,2.43,-0.009999999993644555
SARDAEN,432.0,446.45,432.0,430.1,433.95,1.9000000000015969
UFLEX,630.1,639.3,624.15,633.1,627.05,-8.950000000000525
